date,weight
2017-10-09 08:35:14,164.3
2017-10-09 13:36:10,165
2017-10-10 07:18:30,164.6
2017-10-10 07:18:31,164.6
2017-10-11 07:28:27,165.9
2017-10-12 07:20:36,166.8
2017-10-12 07:21:17,166.7
2017-10-13 07:28:04,164.7
2017-10-14 08:46:04,163.8
2017-10-14 10:11:59,162.7
2017-10-15 09:03:09,163.5
2017-10-15 10:39:20,162.5
2017-10-16 07:32:50,163.2
2017-10-17 07:29:38,163.6
2017-10-18 08:02:05,165.3
2017-10-19 08:40:48,163.8
2017-10-20 07:42:29,164
2017-10-21 09:05:36,163.4
2017-10-21 10:32:13,162.3
2017-10-22 08:27:55,163
2017-10-22 10:00:30,162.4
2017-10-22 10:01:15,162.4
2017-10-23 07:28:40,162.5
2017-10-24 07:28:24,162.3
2017-10-25 07:46:24,163.7
2017-10-26 07:37:24,162.1
2017-10-27 08:02:44,162.2
2017-10-28 07:48:12,161.8
2017-10-28 09:16:33,160.7
2017-10-29 08:32:54,160
2017-10-29 08:33:40,160
2017-10-29 09:45:56,159.2
2017-10-30 08:14:32,161.4
2017-10-31 08:05:52,161.5
2017-11-01 08:39:00,160.8
2017-11-02 07:28:15,161.5
2017-11-03 08:10:15,162.5
2017-11-04 09:01:27,161.6
2017-11-04 12:24:11,160.9
2017-11-05 08:48:22,160
2017-11-06 08:16:48,159
2017-11-07 07:38:58,159.7
2017-11-07 08:43:01,159.2
2017-11-08 07:48:27,160
2017-11-09 08:36:15,160.6
2017-11-09 08:37:19,160.5
2017-11-10 07:59:13,160.8
2017-11-11 10:02:00,157.3
2017-11-11 12:47:21,157
2017-11-11 15:02:18,157.3
2017-11-12 08:39:18,157
2017-11-13 08:28:29,156.6
2017-11-14 08:18:33,158.2
2017-11-15 08:17:02,158.2
2017-11-16 08:22:03,157.7
2017-11-17 08:07:17,158.5
2017-11-18 07:44:19,157.7
2017-11-18 09:17:28,157
2017-11-19 07:34:07,156.8
2017-11-19 11:10:20,157.9
2017-11-20 07:58:20,157.8
2017-11-21 07:32:35,156.8
2017-11-22 08:05:51,155.4
2017-11-23 08:55:09,156.3
2017-11-24 07:55:58,159.8
2017-11-25 07:50:01,158.3
2017-11-26 08:59:38,158.5
2017-11-26 13:19:19,156.9
2017-12-02 10:18:33,160.5
2017-12-03 08:48:19,157.8
2017-12-03 11:00:33,156.9
2017-12-04 08:04:49,157.9
2017-12-05 08:14:48,158.3
2017-12-06 07:56:21,159.9
2017-12-07 08:05:41,159.2
2017-12-08 08:02:18,158.1
2017-12-09 08:12:51,159.5
2017-12-10 08:44:24,158.6
2017-12-11 06:52:32,156.2
2017-12-13 07:48:36,155.9
2017-12-14 08:27:35,154.7
2017-12-14 08:38:31,154.6
2017-12-15 09:10:04,155.4
2017-12-16 08:36:31,154.4
2017-12-16 16:13:24,153.8
2017-12-17 09:21:43,155.1
2017-12-18 08:39:04,156.4
2017-12-19 07:54:33,157.4
2017-12-20 10:00:42,155.3
2017-12-21 08:54:55,153.6
2017-12-22 09:48:46,153.8
2017-12-28 09:26:37,157.5
2017-12-29 09:24:20,155.2
2017-12-30 10:25:15,155.6
2017-12-31 11:14:10,156.9
2018-01-01 09:14:04,155.4
2018-01-02 08:39:07,154.8
2018-01-03 08:43:52,154.7
2018-01-04 08:08:44,157.6
2018-01-05 08:31:17,156.8
2018-01-06 08:49:42,157.7
2018-01-06 08:50:38,156.1
2018-01-07 08:32:22,156.9
2018-01-07 10:59:01,155.6
2018-01-08 09:11:11,155.9
2018-01-09 08:23:40,156.8
2018-01-10 08:16:56,155.6
2018-01-11 08:20:59,155.5
2018-01-12 08:30:05,155
2018-01-14 09:16:50,155.5
2018-01-15 09:34:43,155.2
2018-01-16 08:37:37,155.4
2018-01-17 09:16:29,154.8
2018-01-18 08:25:58,154.8
2018-01-19 09:03:14,156.8
2018-01-20 08:02:57,156.5
2018-01-21 08:57:00,155.4
2018-01-22 08:28:18,153.3
2018-01-23 08:28:24,153.7
2018-01-24 08:21:18,153.9
2018-01-25 08:22:31,154.6
2018-01-26 08:28:34,154.3
2018-01-27 08:33:44,153.5
2018-01-28 09:07:30,154.3
2018-01-29 08:34:18,152.8
2018-01-30 08:24:51,152.1
2018-01-31 08:18:19,152.4
2018-02-01 08:54:03,152.5
2018-02-02 08:24:34,152.4
2018-02-03 07:55:30,153.4
2018-02-04 11:25:03,153.8
2018-02-05 08:10:06,154.2
2018-02-06 07:57:21,152.6
2018-02-07 09:05:46,152.1
2018-02-13 08:17:52,156.2
2018-02-14 08:31:36,155
2018-02-15 07:46:38,155.6
2018-02-16 08:52:45,154.3
2018-02-17 09:39:21,154.6
2018-02-18 09:07:45,153.8
2018-02-19 09:43:05,156.4
2018-02-20 08:18:37,155.9
2018-02-21 08:01:39,154.9
2018-02-22 08:42:53,153.8
2018-02-23 07:39:15,154.2
2018-02-24 08:16:42,152.9
2018-02-25 09:11:47,152.6
2018-02-26 08:35:33,152.9
2018-02-27 08:16:57,152.5
2018-02-28 08:33:31,152.8
2018-03-01 09:01:52,153.1
2018-03-02 08:33:23,155
2018-03-02 11:57:59,154.8
2018-03-03 08:50:28,155.8
2018-03-03 11:40:40,153.7
2018-03-04 09:11:37,153.5
2018-03-05 08:29:39,153.8
2018-03-06 07:50:16,154.9
2018-03-07 07:59:43,154.3
2018-03-13 08:35:45,157.7
2018-03-15 08:43:25,154.8
2018-03-15 08:44:16,154.8
2018-03-16 08:33:25,155.4
2018-03-17 09:40:13,154.5
2018-03-18 09:18:44,153
2018-03-19 08:46:48,154.3
2018-03-19 08:47:42,154.1
2018-03-20 08:56:03,154.8
2018-03-21 09:41:04,154.9
2018-03-22 08:14:46,156.3
2018-03-23 08:54:07,155
2018-03-24 08:54:16,154.4
